"Identifier","Source String","Context","Translation"
"Account.apiDocumentation","API documentation","
-- CONTEXT --
","توثيق API"
"Account.apiTokenHeading","API Token","
-- CONTEXT --
","الرمز التعريفي لـ API"
"Account.apiTokenMessage","You will need this access token to run content integration scripts for bulk-uploading materials through the Kolibri Studio API.","
-- CONTEXT --
","ستحتاج إلى هذا الرمز الخاص بالدخول لتشغيل نصوص دمج المحتوى من أجل التحميل المتعدد للمواد من خلال واجهة التطبيق الخاصة باستوديو كوليبري."
"Account.basicInfoHeader","Basic Information","
-- CONTEXT --
","معلومات أساسية"
"Account.changePasswordAction","Change password","
-- CONTEXT --
","تغيير كلمة المرور"
"Account.completelyDeleteAccountLabel","Completely remove your account from Kolibri Studio","
-- CONTEXT --
","إزالة حسابك بالكامل من استوديو كوليبري"
"Account.deleteAccountLabel","Delete account","
-- CONTEXT --
","حذف الحساب"
"Account.editFullNameAction","Edit full name","
-- CONTEXT --
","تحرير الإسم الكامل"
"Account.exportAccountDataHeading","Export account data","
-- CONTEXT --
","تصدير بيانات الحساب"
"Account.exportAccountDataLabel","You will receive an email with all information linked to your account","
-- CONTEXT --
","ستتلقى رسالة بريد إلكتروني تحتوي على كل المعلومات المرتبطة بحسابك"
"Account.exportAccountDataModalMessage","You'll receive an email with your data when the export is completed","
-- CONTEXT --
","ستتلقى رسالة بريد إلكتروني تحتوي على بياناتك حالما يكتمل التصدير"
"Account.exportDataButton","Export data","
-- CONTEXT --
","تصدير البيانات"
"Account.exportFailed","Unable to export data. Please try again.","
-- CONTEXT --
","تعذّر تصدير البيانات. يرجى المحاولة مجدداً."
"Account.exportStartedHeader","Data export started","
-- CONTEXT --
","بدأ تصدير البيانات"
"Account.fullNameLabel","Full name","
-- CONTEXT --
","الاسم الكامل"
"Account.handleChannelsBeforeAccount","You must delete these channels manually or invite others to edit them before you can delete your account.","
-- CONTEXT --
","عليك حذف هذه القنوات بشكل يدوي أو دعوة آخرين لتعديلها قبل أن تتمكن من حذف حسابك."
"Account.passwordLabel","Password","
-- CONTEXT --
","كلمة المرور"
"Account.unableToDeleteAdminAccount","Unable to delete an admin account","
-- CONTEXT --
","لا يمكن حذف حساب المسؤول"
"Account.usernameLabel","Username","
-- CONTEXT --
","اسم المستخدم"
"AccountCreated.accountCreatedTitle","Account successfully created","
-- CONTEXT --
","تم إنشاء الحساب بنجاح"
"AccountCreated.continueToSignIn","Continue to sign-in","
-- CONTEXT --
","المتابعة لتسجيل الدخول"
"AccountDeleted.accountDeletedTitle","Account successfully deleted","
-- CONTEXT --
","تم حذف الحساب بنجاح"
"AccountDeleted.continueToSignIn","Continue to sign-in page","
-- CONTEXT --
","المتابعة إلى صفحة تسجيل الدخول"
"AccountNotActivated.requestNewLink","Request a new activation link","
-- CONTEXT --
","قم بطلب رابط تفعيل جديد"
"AccountNotActivated.text","Please check your email for an activation link or request a new link.","
-- CONTEXT --
","يرجى التحقق من رابط التفعيل على بريدك الإلكتروني أو طلب رابط جديد."
"AccountNotActivated.title","Account has not been activated","
-- CONTEXT --
","لم يتم تفعيل الحساب"
"ActivationExpired.activationExpiredText","This activation link has been used already or has expired.","
-- CONTEXT --
","رابط التفعيل هذا منتهي الصلاحية أو قد تم استخدامه من قبل"
"ActivationExpired.activationExpiredTitle","Activation failed","
-- CONTEXT --
","فشلت عملية التفعيل"
"ActivationExpired.requestNewLink","Request a new activation link","
-- CONTEXT --
","قم بطلب رابط تفعيل جديد"
"ActivationLinkReSent.activationReSentText","If there is already an account with the email address provided, you should receive instructions shortly. If you don't see an email from us, please check your spam folder.","
-- CONTEXT --
","في حال كان هناك حساب مرتبط بعنوان البريد الإلكتروني المرسل من قبل، فستصلك التعليمات قريباً. في حال لم تتلق بريداً إلكترونياً من طرفنا، فيرجى التحقق من صندوق البريد غير الهام."
"ActivationLinkReSent.activationReSentTitle","Instructions sent. Thank you!","
-- CONTEXT --
","تم إرسال التعليمات. شكراً لك!"
"ActivationSent.header","Activation link sent","
-- CONTEXT --
","تم إرسال رابط التفعيل"
"ActivationSent.text","Thank you for creating an account! To complete the process, please check your email for the activation link we sent you.","
-- CONTEXT --
","شكرا لانشاء الحساب! من أجل إكمال العملية، يرجى التحقق من بريدك الإلكتروني للحصول على رابط التفعيل الذي قمنا بإرساله لك."
"AddNextStepsPage.addedNextStepSnackbar","Added next step","
-- CONTEXT --
","تمت إضافة الخطوة التالية"
"AddNextStepsPage.toolbarTitle","Add next step","
-- CONTEXT --
","أضف خطوة تالية"
"AddPreviousStepsPage.addedPreviousStepSnackbar","Added previous step","
-- CONTEXT --
","أضف خطوة سابقة"
"AddPreviousStepsPage.toolbarTitle","Add previous step","
-- CONTEXT --
","إضافة خطوة سابقة"
"AddRelatedResourcesModal.addStepBtnLabel","Add","
-- CONTEXT --
","إضافة"
"AddRelatedResourcesModal.cancelBtnLabel","Cancel","
-- CONTEXT --
","إلغاء"
"AddRelatedResourcesModal.previewStepBtnLabel","Preview","
-- CONTEXT --
","معاينة"
"AddRelatedResourcesModal.resourcesDisplayedText","Only showing available resources for","
-- CONTEXT --
","عرض المصادر التعليمية المتاحة فقط لـ"
"AddRelatedResourcesModal.selectedAsCurrentResource","This is the current resource","
-- CONTEXT --
","هذا هو المصدر الحالي"
"AddRelatedResourcesModal.selectedAsNextStep","Already selected as a next step","
-- CONTEXT --
","تم التحديد مسبقاً كخطوة تالية"
"AddRelatedResourcesModal.selectedAsPreviousStep","Already selected as a previous step","
-- CONTEXT --
","تم تحديدها مسبقاً كخطوة سابقة"
"AdministrationAppError.unauthorizedDetails","You need to be an administrator of Studio to view this page","
-- CONTEXT --
","يجب أن تكون مسؤولاً في الاستوديو لتتمكن من عرض هذه الصفحة"
"AdministrationIndex.channelsLabel","Channels","
-- CONTEXT --
","القنوات التعليمية"
"AdministrationIndex.usersLabel","Users","
-- CONTEXT --
","المستخدمون"
"Alert.closeButtonLabel","OK","
-- CONTEXT --
","موافقة"
"Alert.dontShowAgain","Don't show this message again","
-- CONTEXT --
","لا تعرض هذه الرسالة مرة أخرى"
"AnswersEditor.answersLabel","Answers","
-- CONTEXT --
","الأجوبة"
"AnswersEditor.newAnswerBtnLabel","New answer","
-- CONTEXT --
","إجابة جديدة"
"AnswersEditor.noAnswersPlaceholder","Question has no answer options","
-- CONTEXT --
","لا توجد خيارات لإجابة هذا السؤال"
"AnswersEditor.numberFieldErrorLabel","Answer must be a number","
-- CONTEXT --
","يجب أن تكون الإجابة رقماً"
"AppBar.administration","Administration","
-- CONTEXT --
","ادارة"
"AppBar.help","Help and support","
-- CONTEXT --
","المساعدة والدعم"
"AppBar.logIn","Sign in","
-- CONTEXT --
","تسجل الدخول"
"AppBar.logOut","Sign out","
-- CONTEXT --
","تسجيل الخروج"
"AppBar.settings","Settings","
-- CONTEXT --
","الإعدادات"
"AppBar.title","Kolibri Studio","
-- CONTEXT --
","استوديو كوليبري"
"AssessmentEditor.closeBtnLabel","Close","
-- CONTEXT --
","إغلاق"
"AssessmentEditor.incompleteItemIndicatorLabel","Incomplete","
-- CONTEXT --
","غير مكتمل"
