"Identifier","Source String","Context","Translation"
"Account.apiDocumentation","API documentation","
-- CONTEXT --
","Documentación de la API"
"Account.apiTokenHeading","API Token","
-- CONTEXT --
","API Token"
"Account.apiTokenMessage","You will need this access token to run content integration scripts for bulk-uploading materials through the Kolibri Studio API.","
-- CONTEXT --
","Necesitará este token de acceso para ejecutar scripts de integración de contenido para ejecutar carga masiva de materiales a través de la API de Kolibri Studio."
"Account.basicInfoHeader","Basic Information","
-- CONTEXT --
","Información básica"
"Account.changePasswordAction","Change password","
-- CONTEXT --
","Cambiar contraseña"
"Account.completelyDeleteAccountLabel","Completely remove your account from Kolibri Studio","
-- CONTEXT --
","Elimine completamente su cuenta de Kolibri Studio"
"Account.deleteAccountLabel","Delete account","
-- CONTEXT --
","Eliminar cuenta"
"Account.editFullNameAction","Edit full name","
-- CONTEXT --
","Editar nombre completo"
"Account.exportAccountDataHeading","Export account data","
-- CONTEXT --
","Exportar datos de la cuenta"
"Account.exportAccountDataLabel","You will receive an email with all information linked to your account","
-- CONTEXT --
","Recibirá un correo electrónico con toda la información vinculada a su cuenta"
"Account.exportAccountDataModalMessage","You'll receive an email with your data when the export is completed","
-- CONTEXT --
","Recibirá un correo electrónico con sus datos cuando finalice la exportación"
"Account.exportDataButton","Export data","
-- CONTEXT --
","Exportar datos"
"Account.exportFailed","Unable to export data. Please try again.","
-- CONTEXT --
","No se pudo exportar datos. Por favor, inténtelo de nuevo."
"Account.exportStartedHeader","Data export started","
-- CONTEXT --
","Exportación de datos iniciada"
"Account.fullNameLabel","Full name","
-- CONTEXT --
","Nombre completo"
"Account.handleChannelsBeforeAccount","You must delete these channels manually or invite others to edit them before you can delete your account.","
-- CONTEXT --
","Tiene que eliminar estos canales manualmente o invitar a otros usuarios para que tengan permisos de edición, antes de poder eliminar su cuenta."
"Account.passwordLabel","Password","
-- CONTEXT --
","Contraseña"
"Account.unableToDeleteAdminAccount","Unable to delete an admin account","
-- CONTEXT --
","No se puede eliminar una cuenta de administrador"
"Account.usernameLabel","Username","
-- CONTEXT --
","Nombre de usuario"
"AccountCreated.accountCreatedTitle","Account successfully created","
-- CONTEXT --
","Cuenta creada con éxito"
"AccountCreated.continueToSignIn","Continue to sign-in","
-- CONTEXT --
","Continuar a la página de inicio de sesión"
"AccountDeleted.accountDeletedTitle","Account successfully deleted","
-- CONTEXT --
","Cuenta eliminada con éxito"
"AccountDeleted.continueToSignIn","Continue to sign-in page","
-- CONTEXT --
","Continuar a la página de inicio de sesión"
"AccountNotActivated.requestNewLink","Request a new activation link","
-- CONTEXT --
","Solicitar un nuevo enlace de activación"
"AccountNotActivated.text","Please check your email for an activation link or request a new link.","
-- CONTEXT --
","Por favor, compruebe su correo electrónico para un enlace de activación o solicite un nuevo enlace."
"AccountNotActivated.title","Account has not been activated","
-- CONTEXT --
","Su cuenta no ha sido activada"
"ActivationExpired.activationExpiredText","This activation link has been used already or has expired.","
-- CONTEXT --
","Este enlace de activación ya ha sido utilizado o ha caducado."
"ActivationExpired.activationExpiredTitle","Activation failed","
-- CONTEXT --
","Activación fallida"
"ActivationExpired.requestNewLink","Request a new activation link","
-- CONTEXT --
","Solicitar un nuevo enlace de activación"
"ActivationLinkReSent.activationReSentText","If there is already an account with the email address provided, you should receive instructions shortly. If you don't see an email from us, please check your spam folder.","
-- CONTEXT --
","Si ya existe una cuenta con la dirección de correo electrónico proporcionada, recibirá las instrucciones en breve. Si no ve un correo electrónico nuestro, por favor revise su carpeta de correo basura."
"ActivationLinkReSent.activationReSentTitle","Instructions sent. Thank you!","
-- CONTEXT --
","Instrucciones enviadas. ¡Gracias!"
"ActivationSent.header","Activation link sent","
-- CONTEXT --
","Enlace de activación enviado"
"ActivationSent.text","Thank you for creating an account! To complete the process, please check your email for the activation link we sent you.","
-- CONTEXT --
","¡Gracias por crear una cuenta! Para completar el proceso, por favor revise su correo electrónico para el enlace de activación que le enviamos."
"AddNextStepsPage.addedNextStepSnackbar","Added next step","
-- CONTEXT --
","Paso siguiente añadido"
"AddNextStepsPage.toolbarTitle","Add next step","
-- CONTEXT --
","Añadir paso siguiente"
"AddPreviousStepsPage.addedPreviousStepSnackbar","Added previous step","
-- CONTEXT --
","Paso anterior añadido"
"AddPreviousStepsPage.toolbarTitle","Add previous step","
-- CONTEXT --
","Añadir paso anterior"
"AddRelatedResourcesModal.addStepBtnLabel","Add","
-- CONTEXT --
","Añadir"
"AddRelatedResourcesModal.cancelBtnLabel","Cancel","
-- CONTEXT --
","Cancelar"
"AddRelatedResourcesModal.previewStepBtnLabel","Preview","
-- CONTEXT --
","Vista previa"
"AddRelatedResourcesModal.resourcesDisplayedText","Only showing available resources for","
-- CONTEXT --
","Mostrar sólo los recursos disponibles para"
"AddRelatedResourcesModal.selectedAsCurrentResource","This is the current resource","
-- CONTEXT --
","Este es el recurso actual"
"AddRelatedResourcesModal.selectedAsNextStep","Already selected as a next step","
-- CONTEXT --
","Ya seleccionado como un paso siguiente"
"AddRelatedResourcesModal.selectedAsPreviousStep","Already selected as a previous step","
-- CONTEXT --
","Ya seleccionado como un paso anterior"
"AdministrationAppError.unauthorizedDetails","You need to be an administrator of Studio to view this page","
-- CONTEXT --
","Necesita ser administrador de Studio para ver esta página"
"AdministrationIndex.channelsLabel","Channels","
-- CONTEXT --
","Canales"
"AdministrationIndex.usersLabel","Users","
-- CONTEXT --
","Usuarios"
"Alert.closeButtonLabel","OK","
-- CONTEXT --
","Aceptar"
"Alert.dontShowAgain","Don't show this message again","
-- CONTEXT --
","No volver a mostrar este mensaje"
"AnswersEditor.answersLabel","Answers","
-- CONTEXT --
","Respuestas"
"AnswersEditor.newAnswerBtnLabel","New answer","
-- CONTEXT --
","Nueva respuesta"
"AnswersEditor.noAnswersPlaceholder","Question has no answer options","
-- CONTEXT --
","La pregunta no tiene opciones de respuesta"
"AnswersEditor.numberFieldErrorLabel","Answer must be a number","
-- CONTEXT --
","La respuesta debe ser un número"
"AppBar.administration","Administration","
-- CONTEXT --
","Administración"
"AppBar.help","Help and support","
-- CONTEXT --
","Ayuda y soporte"
"AppBar.logIn","Sign in","
-- CONTEXT --
","Iniciar sesión"
"AppBar.logOut","Sign out","
-- CONTEXT --
","Cerrar sesión"
"AppBar.settings","Settings","
-- CONTEXT --
","Configuración"
"AppBar.title","Kolibri Studio","
-- CONTEXT --
","Kolibri Studio"
"AssessmentEditor.closeBtnLabel","Close","
-- CONTEXT --
","Cerrar"
"AssessmentEditor.incompleteItemIndicatorLabel","Incomplete","
-- CONTEXT --
","Incompleto"
"AssessmentEditor.newQuestionBtnLabel","New question","
-- CONTEXT --
","Nueva pregunta"
"AssessmentEditor.noQuestionsPlaceholder","Exercise has no questions","
-- CONTEXT --
","El ejercicio aún no tiene preguntas"
"AssessmentEditor.showAnswers","Show answers","
-- CONTEXT --
","Mostrar las respuestas"
"AssessmentEditor.toolbarItemLabel","question","
-- CONTEXT --
","pregunta"
"AssessmentItemEditor.dialogMessageChangeToInput","Switching to 'numeric input' will set all answers as correct and remove all non-numeric answers. Continue?","
-- CONTEXT --
","Cambiar a 'entrada numérica' establecerá todas las respuestas como correctas y eliminará todas las respuestas no numéricas. ¿Continuar?"
"AssessmentItemEditor.dialogMessageChangeToSingleSelection","Switching to 'single choice' will set only one answer as correct. Continue?","
-- CONTEXT --
","Cambiar a 'opción única' sólo establecerá una respuesta como correcta. ¿Continuar?"
"AssessmentItemEditor.dialogMessageChangeToTrueFalse","Switching to 'true or false' will remove all current answers. Continue?","
-- CONTEXT --
","Cambiar a 'verdadero o falso' eliminará todas las respuestas actuales. ¿Continuar?"
"AssessmentItemEditor.dialogSubmitBtnLabel","Change","
-- CONTEXT --
","Cambiar"
"AssessmentItemEditor.dialogTitle","Changing question type","
-- CONTEXT --
","Cambiando el tipo de pregunta"
"AssessmentItemEditor.questionLabel","Question","
-- CONTEXT --
","Pregunta"
"AssessmentItemEditor.questionTypeLabel","Response type","
-- CONTEXT --
","Tipo de respuesta"
"AssessmentItemPreview.answersLabel","Answers","
-- CONTEXT --
","Respuestas"
"AssessmentItemPreview.hintsToggleLabelHide","Hide hints","
-- CONTEXT --
","Ocultar pistas"
"AssessmentItemPreview.hintsToggleLabelShow","Show {hintsCount} {hintsCount, plural, one {hint} other {hints}}","
-- CONTEXT --
","¡Muestra {hintsCount} {hintsCount, plural, one {pista} other {pistas}}"
"AssessmentItemPreview.noAnswersPlaceholder","Question has no answer options","
-- CONTEXT --
","La pregunta no tiene opciones de respuesta"
"AssessmentItemToolbar.toolbarLabelAddAbove","Add {itemLabel} above","
-- CONTEXT --
","Añadir {itemLabel} arriba"
"AssessmentItemToolbar.toolbarLabelAddBelow","Add {itemLabel} below","
-- CONTEXT --
","Añadir {itemLabel} abajo"
"AssessmentItemToolbar.toolbarLabelDelete","Delete","
-- CONTEXT --
","Eliminar"
"AssessmentItemToolbar.toolbarLabelEdit","Edit","
-- CONTEXT --
","Editar"
"AssessmentItemToolbar.toolbarLabelMoveDown","Move down","
-- CONTEXT --
","Mover abajo"
"AssessmentItemToolbar.toolbarLabelMoveUp","Move up","
-- CONTEXT --
","Mover arriba"
"AssessmentTab.dialogCancelBtnLabel","Cancel","
-- CONTEXT --
","Cancelar"
"AssessmentTab.dialogSubmitBtnLabel","Submit","
-- CONTEXT --
","Enviar"
"AssessmentTab.incompleteItemsCountMessage","{invalidItemsCount} incomplete {invalidItemsCount, plural, one {question} other {questions}}","
-- CONTEXT --
","{invalidItemsCount} {invalidItemsCount, plural, one {pregunta no completada} other {preguntas no completadas}}"
"BrowsingCard.addToClipboardAction","Copy to clipboard","
-- CONTEXT --
","Copiar a portapapeles"
"BrowsingCard.coach","Resource for coaches","
-- CONTEXT --
","Recurso para tutores"
"BrowsingCard.goToPluralLocationsAction","In {count, number} {count, plural, one {location} other {locations}}","
-- CONTEXT --
","En {count, number} {count, plural, one {ubicación} other {ubicaciones}}"
"BrowsingCard.goToSingleLocationAction","Go to location","
-- CONTEXT --
","Ir a la ubicación"
"BrowsingCard.hasCoachTooltip","{value, number, integer} {value, plural, one {resource for coaches} other {resources for coaches}}","
-- CONTEXT --
","{value, number, integer} {value, plural, one {recurso para tutores} other {recursos para tutores}}"
"BrowsingCard.resourcesCount","{count, number} {count, plural, one {resource} other {resources}}","
-- CONTEXT --
","{count, number} {count, plural, one {material} other {materiales}}"
"BrowsingCard.tagsList","Tags: {tags}","
-- CONTEXT --
","Etiquetas: {tags}"
"BytesForHumansStrings.fileSizeInBytes","{n, number, integer} B","
-- CONTEXT --
","{n, number, integer} B"
"BytesForHumansStrings.fileSizeInGigabytes","{n, number, integer} GB","
-- CONTEXT --
","{n, number, integer} GB"
"BytesForHumansStrings.fileSizeInKilobytes","{n, number, integer} KB","
-- CONTEXT --
","{n, number, integer} KB"
"BytesForHumansStrings.fileSizeInMegabytes","{n, number, integer} MB","
-- CONTEXT --
","{n, number, integer} MB"
"BytesForHumansStrings.fileSizeInTerabytes","{n, number, integer} TB","
-- CONTEXT --
","{n, number, integer} TB"
"CatalogFAQ.KolibriAnswer","Kolibri is an open source ed-tech platform designed for low-resource communities, focused on:","
-- CONTEXT --
","Kolibri es una plataforma de código abierto diseñada para las comunidades de bajos recursos, enfocada en:"
"CatalogFAQ.KolibriAnswerItem1","Overcoming infrastructural barriers that prevent equitable access to quality education for learners in low-resource and low-connectivity contexts","
-- CONTEXT --
","Superar las barreras de infraestructura que impiden un acceso equitativo a una educación de calidad para los estudiantes en contextos de bajos recursos y baja conectividad"
"CatalogFAQ.KolibriAnswerItem2","Increasing the availability of open learning materials suitable for many curricula, learning goals, and situations","
-- CONTEXT --
","Incrementar la disponibilidad de materiales de aprendizaje abiertos adecuados para muchos currículos, metas de aprendizaje y situaciones"
"CatalogFAQ.KolibriAnswerItem3","Fostering innovative pedagogy and effective learning outcomes","
-- CONTEXT --
","Fomentar una pedagogía innovadora y resultados de aprendizaje efectivos"
"CatalogFAQ.KolibriQuestion","What is Kolibri?","
-- CONTEXT --
","¿Qué es Kolibri?"
"CatalogFAQ.aboutHeader","Welcome to the Kolibri Content Library Catalog! ","
-- CONTEXT --
","¡Bienvenida al Catálogo de la Biblioteca de Contenidos de Kolibri! "
"CatalogFAQ.aboutKolibriHeader","About Kolibri","
-- CONTEXT --
","Acerca de Kolibri"
"CatalogFAQ.aboutLibraryHeader","About the Kolibri Content Library","
-- CONTEXT --
","Acerca de la Biblioteca de Contenido de Kolibri"
"CatalogFAQ.channelAnswer","A channel is Kolibri’s unit of organization for digital content. It's a collection of resources organized by single institutions or creators, each of which may contain a set of books, games, textbooks, articles, simulations, exercises, and many more types of educational materials, all made available for use in Kolibri without the need for internet access. A channel isn't necessarily a course or a sequence, it's simply a collection of materials published or gathered together by one organization, as close to the provider's original layout as possible, while still organized for the best possible navigation in Kolibri.","
-- CONTEXT --
","Un canal es la unidad de organización de Kolibri para contenidos digitales. Es una colección de recursos organizados por instituciones o creadores particulares, cada uno de los cuales contiene un conjunto de libros, juegos, artículos, simulaciones, ejercicios, libros de texto y muchos más tipos de materiales educativos, todos puestos a disposición en Kolibri sin necesidad de acceso a Internet. Un canal no es necesariamente un curso o una secuencia - es simplemente una colección de materiales publicados o reunidos por una organización, lo más cerca posible del formato original del proveedor, pero organizado para la mejor navegación posible en Kolibri."
"CatalogFAQ.channelLink","What is a channel?","
-- CONTEXT --
","¿Qué es un canal?"
"CatalogFAQ.channelQuestion","What is a channel?","
-- CONTEXT --
","¿Qué es un canal?"
"CatalogFAQ.coachContentAnswer","Most resources are directed at learners, but some, such as lesson plans, subject refreshers, professional learning guides, and similar, are directed at teachers and facilitators. In Kolibri, we mark this content as ""for coaches"" and limit its visibility to those with coach accounts. If you see coach materials here, they may require less planning for any facilitators using the resource!","
-- CONTEXT --
","La mayoría de los recursos están dirigidos a los estudiantes, pero algunos, como planes de clase, actualizaciones temáticas, guías de aprendizaje profesional y similares, están dirigidos a profesores y tutores. En Kolibri, marcamos este contenido como ""apoyo para tutores"" y limitamos su visibilidad a aquellos usuarios con las cuentas de tutor. Si ves materiales para tutores en el canal, indican que posiblemente se requiere menos planificación por parte de facilitadores que usen esos recursos."
"CatalogFAQ.coachContentQuestion","What are 'resources for coaches'?","
-- CONTEXT --
","¿Qué son los 'recursos para tutores'?"
"CatalogFAQ.customContentAnswer","We would love to get in touch with you regarding your own materials or your recommendations. Please contact us at content@learningequality.org!","
-- CONTEXT --
","Nos encantaría que se ponga en contacto con nosotros acerca de sus propios materiales o sus recomendaciones. Escribanos a content@learningequality.org."
"CatalogFAQ.customContentQuestion","How can I add my own materials or recommend materials from other creators for this library?","
-- CONTEXT --
","¿Cómo puedo añadir mis propios materiales o recomendar materiales de otros creadores para esta biblioteca?"
