"Identifier","Source String","Context","Translation"
"Account.apiDocumentation","API documentation","
-- CONTEXT --
","Documentation de l'API"
"Account.apiTokenHeading","API Token","
-- CONTEXT --
","Jeton API"
"Account.apiTokenMessage","You will need this access token to run content integration scripts for bulk-uploading materials through the Kolibri Studio API.","
-- CONTEXT --
","Ce jeton d'accès est nécessaire à l'exécution de scripts d'intégration  de contenu pour le téléversement groupé de supports via l'API de Kolibri Studio."
"Account.basicInfoHeader","Basic Information","
-- CONTEXT --
","Informations de base"
"Account.changePasswordAction","Change password","
-- CONTEXT --
","Changer de mot de passe"
"Account.completelyDeleteAccountLabel","Completely remove your account from Kolibri Studio","
-- CONTEXT --
","Supprimez complètement votre compte de Kolibri Studio"
"Account.deleteAccountLabel","Delete account","
-- CONTEXT --
","Supprimer le compte"
"Account.editFullNameAction","Edit full name","
-- CONTEXT --
","Modifier le nom complet"
"Account.exportAccountDataHeading","Export account data","
-- CONTEXT --
","Exporter les données du compte"
"Account.exportAccountDataLabel","You will receive an email with all information linked to your account","
-- CONTEXT --
","Un e-mail vous sera envoyé avec toutes les informations liées à votre compte"
"Account.exportAccountDataModalMessage","You'll receive an email with your data when the export is completed","
-- CONTEXT --
","Vous recevrez un e-mail avec vos données une fois l'export terminé"
"Account.exportDataButton","Export data","
-- CONTEXT --
","Exporter les données"
"Account.exportFailed","Unable to export data. Please try again.","
-- CONTEXT --
","Impossible d'exporter les données. Veuillez réessayer."
"Account.exportStartedHeader","Data export started","
-- CONTEXT --
","L'exportation des données a commencé"
"Account.fullNameLabel","Full name","
-- CONTEXT --
","Nom complet"
"Account.handleChannelsBeforeAccount","You must delete these channels manually or invite others to edit them before you can delete your account.","
-- CONTEXT --
","Avant de pouvoir supprimer votre compte, vous devez supprimer ces chaînes manuellement ou inviter d'autres personnes à les modifier."
"Account.passwordLabel","Password","
-- CONTEXT --
","Mot de passe"
"Account.unableToDeleteAdminAccount","Unable to delete an admin account","
-- CONTEXT --
","Impossible de supprimer un compte administrateur"
"Account.usernameLabel","Username","
-- CONTEXT --
","Nom d'utilisateur"
"AccountCreated.accountCreatedTitle","Account successfully created","
-- CONTEXT --
","Compte créé avec succès"
"AccountCreated.continueToSignIn","Continue to sign-in","
-- CONTEXT --
","Continuer pour vous connecter"
"AccountDeleted.accountDeletedTitle","Account successfully deleted","
-- CONTEXT --
","Compte supprimé avec succès"
"AccountDeleted.continueToSignIn","Continue to sign-in page","
-- CONTEXT --
","Continuer vers la page de connexion"
"AccountNotActivated.requestNewLink","Request a new activation link","
-- CONTEXT --
","Demander un nouveau lien d'activation"
"AccountNotActivated.text","Please check your email for an activation link or request a new link.","
-- CONTEXT --
","Merci de vérifier votre messagerie pour un lien d'activation ou d'en demander un nouveau."
"AccountNotActivated.title","Account has not been activated","
-- CONTEXT --
","Compte non activé"
"ActivationExpired.activationExpiredText","This activation link has been used already or has expired.","
-- CONTEXT --
","Ce lien d'activation a déjà été utilisé ou a expiré."
"ActivationExpired.activationExpiredTitle","Activation failed","
-- CONTEXT --
","Échec de l'activation"
"ActivationExpired.requestNewLink","Request a new activation link","
-- CONTEXT --
","Demander un nouveau lien d'activation"
"ActivationLinkReSent.activationReSentText","If there is already an account with the email address provided, you should receive instructions shortly. If you don't see an email from us, please check your spam folder.","
-- CONTEXT --
","Si un compte associé à l'adresse e-mail fournie existe déjà, vous devriez recevoir des instructions dans les plus brefs délais. Au cas où vous ne verriez pas d'e-mail de notre part, veuillez vérifier votre dossier spam."
"ActivationLinkReSent.activationReSentTitle","Instructions sent. Thank you!","
-- CONTEXT --
","Instructions envoyées. Merci !"
"ActivationSent.header","Activation link sent","
-- CONTEXT --
","Lien d'activation envoyé"
"ActivationSent.text","Thank you for creating an account! To complete the process, please check your email for the activation link we sent you.","
-- CONTEXT --
","Merci d'avoir créé un compte ! Pour terminer le processus, veuillez consulter votre messagerie pour le lien d'activation que nous vous avons envoyé."
"AddNextStepsPage.addedNextStepSnackbar","Added next step","
-- CONTEXT --
","Étape suivante ajoutée"
"AddNextStepsPage.toolbarTitle","Add next step","
-- CONTEXT --
","Ajouter une étape suivante"
"AddPreviousStepsPage.addedPreviousStepSnackbar","Added previous step","
-- CONTEXT --
","Étape antérieure ajoutée"
"AddPreviousStepsPage.toolbarTitle","Add previous step","
-- CONTEXT --
","Ajouter une étape antérieure"
"AddRelatedResourcesModal.addStepBtnLabel","Add","
-- CONTEXT --
","Ajouter"
"AddRelatedResourcesModal.cancelBtnLabel","Cancel","
-- CONTEXT --
","Annuler"
"AddRelatedResourcesModal.previewStepBtnLabel","Preview","
-- CONTEXT --
","Aperçu"
"AddRelatedResourcesModal.resourcesDisplayedText","Only showing available resources for","
-- CONTEXT --
","Seules sont affichées les ressources disponibles pour"
"AddRelatedResourcesModal.selectedAsCurrentResource","This is the current resource","
-- CONTEXT --
","Ceci est la ressource actuelle"
"AddRelatedResourcesModal.selectedAsNextStep","Already selected as a next step","
-- CONTEXT --
","Déjà sélectionnée comme étape suivante"
"AddRelatedResourcesModal.selectedAsPreviousStep","Already selected as a previous step","
-- CONTEXT --
","Déjà sélectionnée comme étape antérieure"
"AdministrationAppError.unauthorizedDetails","You need to be an administrator of Studio to view this page","
-- CONTEXT --
","Il faut être administrateur de Studio pour voir cette page"
"AdministrationIndex.channelsLabel","Channels","
-- CONTEXT --
","Chaînes"
"AdministrationIndex.usersLabel","Users","
-- CONTEXT --
","Utilisateurs"
"Alert.closeButtonLabel","OK","
-- CONTEXT --
","OK"
"Alert.dontShowAgain","Don't show this message again","
-- CONTEXT --
","Ne plus afficher ce message"
"AnswersEditor.answersLabel","Answers","
-- CONTEXT --
","Réponses"
"AnswersEditor.newAnswerBtnLabel","New answer","
-- CONTEXT --
","Nouvelle réponse"
"AnswersEditor.noAnswersPlaceholder","Question has no answer options","
-- CONTEXT --
","La question ne comporte pas d'options de réponse"
