"Identifier","Source String","Context","Translation"
"AboutLicensesModal.close","Close","
-- CONTEXT --
","إغلاق"
"AboutLicensesModal.learnMoreButton","Learn More","
-- CONTEXT --
","التعرّف على المزيد"
"AboutLicensesModal.licenseInfoHeader","About licenses","
-- CONTEXT --
","حول التراخيص"
"AccessibilityOptions.altText","Visual elements in the resource have descriptions that can be accessed by screen readers for the benefit of blind learners","
-- CONTEXT --
","يوجد للعناصر البصرية في هذا المصدر أوصاف يمكن أن تستخدمها برامج قراءة الشاشة المخصصة للمتعلمين المكفوفين"
"AccessibilityOptions.audioDescription","The resource contains a second narration audio track that provides additional information for the benefit of blind users and those with low vision","
-- CONTEXT --
","يحتوي المصدر على مسار سرد صوتي ثانٍ يوفر معلومات إضافية للمستخدمين المكفوفين ومن يعانون ضعف الرؤية"
"AccessibilityOptions.highContrast","The resource text and visual elements are displayed with high contrast for the benefit of users with low vision","
-- CONTEXT --
","يُعرض نص المصدر والعناصر البصرية بسطوع كبير للمستخدمين الذين يعانون ضعف الرؤية"
"AccessibilityOptions.signLanguage","Synchronized sign language intepretation is available for audio and video content","
-- CONTEXT --
","يتوفر تفسير متزامن بلغة الإشارة لمحتوى الصوت والفيديو"
"AccessibilityOptions.taggedPdf","The document contains PDF tags that can be accessed by screen readers for the benefit of blind learners","
-- CONTEXT --
","يتضمن المستند بصيغة PDF وسومًا يمكن الوصول إليها من قبل برامج قراءة الشاشة المخصصة للمتعلمين المكفوفين"
"Account.apiDocumentation","API documentation","
-- CONTEXT --
","توثيق API"
"Account.apiTokenHeading","API Token","
-- CONTEXT --
","الرمز التعريفي لـ API"
"Account.apiTokenMessage","You will need this access token to run content integration scripts for bulk-uploading materials through the Kolibri Studio API.","
-- CONTEXT --
","ستحتاج إلى هذا الرمز الخاص بالدخول لتشغيل نصوص دمج المحتوى من أجل التحميل المتعدد للمواد من خلال واجهة التطبيق الخاصة باستوديو كوليبري."
"Account.basicInfoHeader","Basic Information","
-- CONTEXT --
","معلومات أساسية"
"Account.changePasswordAction","Change password","
-- CONTEXT --
","تغيير كلمة المرور"
"Account.completelyDeleteAccountLabel","Completely remove your account from Kolibri Studio","
-- CONTEXT --
","إزالة حسابك بالكامل من استوديو كوليبري"
"Account.deleteAccountLabel","Delete account","
-- CONTEXT --
","حذف الحساب"
"Account.editFullNameAction","Edit full name","
-- CONTEXT --
","تحرير الإسم الكامل"
"Account.exportAccountDataHeading","Export account data","
-- CONTEXT --
","تصدير بيانات الحساب"
"Account.exportAccountDataLabel","You will receive an email with all information linked to your account","
-- CONTEXT --
","ستتلقى رسالة بريد إلكتروني تحتوي على كل المعلومات المرتبطة بحسابك"
"Account.exportAccountDataModalMessage","You'll receive an email with your data when the export is completed","
-- CONTEXT --
","ستتلقى رسالة بريد إلكتروني تحتوي على بياناتك حالما يكتمل التصدير"
"Account.exportDataButton","Export data","
-- CONTEXT --
","تصدير البيانات"
"Account.exportFailed","Unable to export data. Please try again.","
-- CONTEXT --
","تعذّر تصدير البيانات. يرجى المحاولة مجدداً."
"Account.exportStartedHeader","Data export started","
-- CONTEXT --
","بدأ تصدير البيانات"
"Account.fullNameLabel","Full name","
-- CONTEXT --
","الاسم الكامل"
