Identifier,Source String,Context,Translation
AccessibilityOptions.altText,Visual elements in the resource have descriptions that can be accessed by screen readers for the benefit of blind learners,"
-- CONTEXT --
",
AccessibilityOptions.audioDescription,The resource contains a second narration audio track that provides additional information for the benefit of blind users and those with low vision,"
-- CONTEXT --
",
AccessibilityOptions.highContrast,The resource text and visual elements are displayed with high contrast for the benefit of users with low vision,"
-- CONTEXT --
",
AccessibilityOptions.signLanguage,Synchronized sign language intepretation is available for audio and video content,"
-- CONTEXT --
",
AccessibilityOptions.taggedPdf,The document contains PDF tags that can be accessed by screen readers for the benefit of blind learners,"
-- CONTEXT --
",
Account.apiDocumentation,API documentation,"
-- CONTEXT --
",
Account.apiTokenHeading,API Token,"
-- CONTEXT --
",
Account.apiTokenMessage,You will need this access token to run content integration scripts for bulk-uploading materials through the Kolibri Studio API.,"
-- CONTEXT --
",
Account.basicInfoHeader,Basic Information,"
-- CONTEXT --
",
Account.changePasswordAction,Change password,"
-- CONTEXT --
",
Account.completelyDeleteAccountLabel,Completely remove your account from Kolibri Studio,"
-- CONTEXT --
",
Account.deleteAccountLabel,Delete account,"
-- CONTEXT --
",
Account.editFullNameAction,Edit full name,"
-- CONTEXT --
",
Account.exportAccountDataHeading,Export account data,"
-- CONTEXT --
",
Account.exportAccountDataLabel,You will receive an email with all information linked to your account,"
-- CONTEXT --
",
Account.exportAccountDataModalMessage,You'll receive an email with your data when the export is completed,"
-- CONTEXT --
",
Account.exportDataButton,Export data,"
-- CONTEXT --
",
Account.exportFailed,Unable to export data. Please try again.,"
-- CONTEXT --
",
Account.exportStartedHeader,Data export started,"
-- CONTEXT --
",
Account.fullNameLabel,Full name,"
-- CONTEXT --
",
Account.handleChannelsBeforeAccount,You must delete these channels manually or invite others to edit them before you can delete your account.,"
-- CONTEXT --
",
Account.passwordLabel,Password,"
-- CONTEXT --
",
Account.unableToDeleteAdminAccount,Unable to delete an admin account,"
-- CONTEXT --
",
Account.usernameLabel,Username,"
-- CONTEXT --
",
AccountCreated.accountCreatedTitle,Account successfully created,"
-- CONTEXT --
",
AccountCreated.backToLogin,Continue to sign-in page,"
-- CONTEXT --
",
AccountDeleted.accountDeletedTitle,Account successfully deleted,"
-- CONTEXT --
",
AccountDeleted.backToLogin,Continue to sign-in page,"
-- CONTEXT --
",
AccountNotActivated.requestNewLink,Request a new activation link,"
-- CONTEXT --
",
AccountNotActivated.text,Please check your email for an activation link or request a new link.,"
-- CONTEXT --
",
AccountNotActivated.title,Account has not been activated,"
-- CONTEXT --
",
ActivationExpired.activationExpiredText,This activation link has been used already or has expired.,"
-- CONTEXT --
",
ActivationExpired.activationExpiredTitle,Activation failed,"
-- CONTEXT --
",
ActivationExpired.requestNewLink,Request a new activation link,"
-- CONTEXT --
",
ActivationLinkReSent.activationReSentText,"If there is already an account with the email address provided, you should receive instructions shortly. If you don't see an email from us, please check your spam folder.","
-- CONTEXT --
",
ActivationLinkReSent.activationReSentTitle,Instructions sent. Thank you!,"
-- CONTEXT --
",
ActivationSent.header,Activation link sent,"
-- CONTEXT --
",
ActivationSent.text,"Thank you for creating an account! To complete the process, please check your email for the activation link we sent you.","
-- CONTEXT --
",
ActivityDuration.minutesRequired,Minutes,"
-- CONTEXT --
",
ActivityDuration.notOptionalLabel,Time required for the resource to be marked as completed. This value will not be displayed to learners.,"
-- CONTEXT --
",
ActivityDuration.optionalLabel,(Optional) Time required for the resource to be marked as completed. This value will not be displayed to learners.,"
-- CONTEXT --
",
AddNextStepsPage.addedNextStepSnackbar,Added next step,"
-- CONTEXT --
",
AddNextStepsPage.toolbarTitle,Add next step,"
-- CONTEXT --
",
AddPreviousStepsPage.addedPreviousStepSnackbar,Added previous step,"
-- CONTEXT --
",
AddPreviousStepsPage.toolbarTitle,Add previous step,"
-- CONTEXT --
",
AddRelatedResourcesModal.addStepBtnLabel,Add,"
-- CONTEXT --
",
AddRelatedResourcesModal.cancelBtnLabel,Cancel,"
-- CONTEXT --
",
AddRelatedResourcesModal.previewStepBtnLabel,Preview,"
-- CONTEXT --
",
AddRelatedResourcesModal.resourcesDisplayedText,Only showing available resources for,"
-- CONTEXT --
",
AddRelatedResourcesModal.selectedAsCurrentResource,This is the current resource,"
-- CONTEXT --
",
AddRelatedResourcesModal.selectedAsNextStep,Already selected as a next step,"
-- CONTEXT --
",
AddRelatedResourcesModal.selectedAsPreviousStep,Already selected as a previous step,"
-- CONTEXT --
",
AdministrationAppError.unauthorizedDetails,You need to be an administrator of Studio to view this page,"
-- CONTEXT --
",
AdministrationIndex.channelsLabel,Channels,"
-- CONTEXT --
",
AdministrationIndex.usersLabel,Users,"
-- CONTEXT --
",
Alert.closeButtonLabel,OK,"
-- CONTEXT --
",
Alert.dontShowAgain,Don't show this message again,"
-- CONTEXT --
",
