"Identifier","Source String","Context","Translation"
"AccessibilityOptions.altText","Visual elements in the resource have descriptions that can be accessed by screen readers for the benefit of blind learners","
-- CONTEXT --
","Los elementos visuales en el recurso tienen descripciones a las que pueden acceder los lectores de pantalla en beneficio de los estudiantes ciegos"
"AccessibilityOptions.audioDescription","The resource contains a second narration audio track that provides additional information for the benefit of blind users and those with low vision","
-- CONTEXT --
","El recurso contiene una segunda pista de audio con la narración que proporciona información adicional para el beneficio de los usuarios ciegos y de aquellos con baja visión"
"AccessibilityOptions.highContrast","The resource text and visual elements are displayed with high contrast for the benefit of users with low vision","
-- CONTEXT --
","El texto del recurso y los elementos visuales se muestran con alto contraste para el beneficio de los usuarios con baja visión"
"AccessibilityOptions.signLanguage","Synchronized sign language intepretation is available for audio and video content","
-- CONTEXT --
","La traducción en lenguaje de signos está disponible para el audio o vídeo"
"AccessibilityOptions.taggedPdf","The document contains PDF tags that can be accessed by screen readers for the benefit of blind learners","
-- CONTEXT --
","El documento contiene etiquetas PDF a las que se puede acceder mediante lectores de pantalla en beneficio de los estudiantes ciegos"
"Account.apiDocumentation","API documentation","
-- CONTEXT --
","Documentación de la API"
"Account.apiTokenHeading","API Token","
-- CONTEXT --
","API Token"
"Account.apiTokenMessage","You will need this access token to run content integration scripts for bulk-uploading materials through the Kolibri Studio API.","
-- CONTEXT --
","Necesitará este token de acceso para ejecutar scripts de integración de contenido para la carga masiva de materiales a través de la API de Kolibri Studio."
"Account.basicInfoHeader","Basic Information","
-- CONTEXT --
","Información básica"
"Account.changePasswordAction","Change password","
-- CONTEXT --
","Cambiar contraseña"
"Account.completelyDeleteAccountLabel","Completely remove your account from Kolibri Studio","
-- CONTEXT --
","Eliminar completamente su cuenta de Kolibri Studio"
"Account.deleteAccountLabel","Delete account","
-- CONTEXT --
","Eliminar cuenta"
"Account.editFullNameAction","Edit full name","
-- CONTEXT --
","Editar nombre completo"
"Account.exportAccountDataHeading","Export account data","
-- CONTEXT --
","Exportar datos de la cuenta"
"Account.exportAccountDataLabel","You will receive an email with all information linked to your account","
-- CONTEXT --
","Recibirá un correo electrónico con toda la información vinculada a su cuenta"
"Account.exportAccountDataModalMessage","You'll receive an email with your data when the export is completed","
-- CONTEXT --
","Recibirá un correo electrónico con sus datos cuando finalice la exportación"
"Account.exportDataButton","Export data","
-- CONTEXT --
","Exportar datos"
"Account.exportFailed","Unable to export data. Please try again.","
-- CONTEXT --
","Los datos no se pudieron exportar. Por favor, inténtelo de nuevo."
"Account.exportStartedHeader","Data export started","
-- CONTEXT --
","Exportación de datos iniciada"
"Account.fullNameLabel","Full name","
-- CONTEXT --
","Nombre completo"
"Account.handleChannelsBeforeAccount","You must delete these channels manually or invite others to edit them before you can delete your account.","
-- CONTEXT --
","Tiene que eliminar estos canales manualmente o invitar a otros usuarios para que tengan permisos de edición, antes de poder eliminar su cuenta."
"Account.passwordLabel","Password","
-- CONTEXT --
","Contraseña"
"Account.unableToDeleteAdminAccount","Unable to delete an admin account","
-- CONTEXT --
","No se puede eliminar una cuenta de administrador"
"Account.usernameLabel","Username","
-- CONTEXT --
","Nombre de usuario"
"AccountCreated.accountCreatedTitle","Account successfully created","
-- CONTEXT --
","Cuenta creada con éxito"
