"Identifier","Source String","Context","Translation"
"AccessibilityOptions.altText","Visual elements in the resource have descriptions that can be accessed by screen readers for the benefit of blind learners","
-- CONTEXT --
","Les éléments visuels de la ressource comportent des descriptions accessibles par des lecteurs d'écran à l'intention des apprenants aveugles"
"AccessibilityOptions.audioDescription","The resource contains a second narration audio track that provides additional information for the benefit of blind users and those with low vision","
-- CONTEXT --
","La ressource comporte une deuxième piste audio de narration qui apporte des informations supplémentaires à l'intention des utilisateurs aveugles et malvoyants"
"AccessibilityOptions.highContrast","The resource text and visual elements are displayed with high contrast for the benefit of users with low vision","
-- CONTEXT --
","Le texte de la ressource et les éléments visuels sont affichés avec un fort contraste à l'intention des utilisateurs malvoyants"
"AccessibilityOptions.signLanguage","Synchronized sign language intepretation is available for audio and video content","
-- CONTEXT --
","L'interprétation synchronisée en langue des signes est disponible pour les contenus audio et vidéo"
"AccessibilityOptions.taggedPdf","The document contains PDF tags that can be accessed by screen readers for the benefit of blind learners","
-- CONTEXT --
","Le document comprend des métadonnées PDF accessibles par des lecteurs d'écran à l'intention des apprenants aveugles"
"Account.apiDocumentation","API documentation","
-- CONTEXT --
","Documentation de l'API"
"Account.apiTokenHeading","API Token","
-- CONTEXT --
","Jeton API"
"Account.apiTokenMessage","You will need this access token to run content integration scripts for bulk-uploading materials through the Kolibri Studio API.","
-- CONTEXT --
","Ce jeton d'accès est nécessaire à l'exécution de scripts d'intégration  de contenu pour le téléversement groupé de supports via l'API de Kolibri Studio."
"Account.basicInfoHeader","Basic Information","
-- CONTEXT --
","Informations de base"
"Account.changePasswordAction","Change password","
-- CONTEXT --
","Changer de mot de passe"
"Account.completelyDeleteAccountLabel","Completely remove your account from Kolibri Studio","
-- CONTEXT --
","Supprimez complètement votre compte de Kolibri Studio"
"Account.deleteAccountLabel","Delete account","
-- CONTEXT --
","Supprimer le compte"
"Account.editFullNameAction","Edit full name","
-- CONTEXT --
","Modifier le nom complet"
"Account.exportAccountDataHeading","Export account data","
-- CONTEXT --
","Exporter les données du compte"
"Account.exportAccountDataLabel","You will receive an email with all information linked to your account","
-- CONTEXT --
","Un e-mail vous sera envoyé avec toutes les informations liées à votre compte"
"Account.exportAccountDataModalMessage","You'll receive an email with your data when the export is completed","
-- CONTEXT --
","Vous recevrez un e-mail avec vos données une fois l'export terminé"
"Account.exportDataButton","Export data","
-- CONTEXT --
","Exporter les données"
"Account.exportFailed","Unable to export data. Please try again.","
-- CONTEXT --
","Impossible d'exporter les données. Veuillez réessayer."
"Account.exportStartedHeader","Data export started","
-- CONTEXT --
","L'exportation des données a commencé"
"Account.fullNameLabel","Full name","
-- CONTEXT --
","Nom complet"
"Account.handleChannelsBeforeAccount","You must delete these channels manually or invite others to edit them before you can delete your account.","
-- CONTEXT --
","Avant de pouvoir supprimer votre compte, vous devez supprimer ces chaînes manuellement ou inviter d'autres personnes à les modifier."
"Account.passwordLabel","Password","
-- CONTEXT --
","Mot de passe"
"Account.unableToDeleteAdminAccount","Unable to delete an admin account","
-- CONTEXT --
","Impossible de supprimer un compte administrateur"
"Account.usernameLabel","Username","
-- CONTEXT --
","Nom d'utilisateur"
"AccountCreated.accountCreatedTitle","Account successfully created","
-- CONTEXT --
","Compte créé avec succès"
"AccountCreated.backToLogin","Continue to sign-in page","
-- CONTEXT --
","Continuer vers la page de connexion"
"AccountDeleted.accountDeletedTitle","Account successfully deleted","
-- CONTEXT --
","Compte supprimé avec succès"
"AccountDeleted.backToLogin","Continue to sign-in page","
-- CONTEXT --
","Continuer vers la page de connexion"
"AccountNotActivated.requestNewLink","Request a new activation link","
-- CONTEXT --
","Demander un nouveau lien d'activation"
"AccountNotActivated.text","Please check your email for an activation link or request a new link.","
-- CONTEXT --
","Merci de vérifier votre messagerie pour un lien d'activation ou d'en demander un nouveau."
"AccountNotActivated.title","Account has not been activated","
-- CONTEXT --
","Compte non activé"
"ActivationExpired.activationExpiredText","This activation link has been used already or has expired.","
-- CONTEXT --
","Ce lien d'activation a déjà été utilisé ou a expiré."
"ActivationExpired.activationExpiredTitle","Activation failed","
-- CONTEXT --
","Échec de l'activation"
"ActivationExpired.requestNewLink","Request a new activation link","
-- CONTEXT --
","Demander un nouveau lien d'activation"
"ActivationLinkReSent.activationReSentText","If there is already an account with the email address provided, you should receive instructions shortly. If you don't see an email from us, please check your spam folder.","
-- CONTEXT --
","Si un compte associé à l'adresse e-mail fournie existe déjà, vous devriez recevoir des instructions dans les plus brefs délais. Au cas où vous ne verriez pas d'e-mail de notre part, veuillez vérifier votre dossier spam."
"ActivationLinkReSent.activationReSentTitle","Instructions sent. Thank you!","
-- CONTEXT --
","Instructions envoyées. Merci !"
"ActivationSent.header","Activation link sent","
-- CONTEXT --
","Lien d'activation envoyé"
"ActivationSent.text","Thank you for creating an account! To complete the process, please check your email for the activation link we sent you.","
-- CONTEXT --
","Merci d'avoir créé un compte ! Pour terminer le processus, veuillez consulter votre messagerie pour le lien d'activation que nous vous avons envoyé."
"ActivityDuration.minutesRequired","Minutes","
-- CONTEXT --
","Minutes"
"ActivityDuration.notOptionalLabel","Time required for the resource to be marked as completed. This value will not be displayed to learners.","
-- CONTEXT --
","Durée nécessaire pour que la ressource soit marquée comme étant terminée. Cette valeur ne s'affichera pas pour les apprenants."
"ActivityDuration.optionalLabel","(Optional) Time required for the resource to be marked as completed. This value will not be displayed to learners.","
-- CONTEXT --
","(Facultatif) Durée nécessaire pour que la ressource soit marquée comme étant terminée. Cette valeur ne sera pas affichée pour les apprenants."
"AddNextStepsPage.addedNextStepSnackbar","Added next step","
-- CONTEXT --
","Étape suivante ajoutée"
"AddNextStepsPage.toolbarTitle","Add next step","
-- CONTEXT --
","Ajouter une étape suivante"
"AddPreviousStepsPage.addedPreviousStepSnackbar","Added previous step","
-- CONTEXT --
","Étape antérieure ajoutée"
"AddPreviousStepsPage.toolbarTitle","Add previous step","
-- CONTEXT --
","Ajouter une étape antérieure"
"AddRelatedResourcesModal.addStepBtnLabel","Add","
-- CONTEXT --
","Ajouter"
"AddRelatedResourcesModal.cancelBtnLabel","Cancel","
-- CONTEXT --
","Annuler"
"AddRelatedResourcesModal.previewStepBtnLabel","Preview","
-- CONTEXT --
","Aperçu"
"AddRelatedResourcesModal.resourcesDisplayedText","Only showing available resources for","
-- CONTEXT --
","Seules sont affichées les ressources disponibles pour"
"AddRelatedResourcesModal.selectedAsCurrentResource","This is the current resource","
-- CONTEXT --
","Ceci est la ressource actuelle"
"AddRelatedResourcesModal.selectedAsNextStep","Already selected as a next step","
-- CONTEXT --
","Déjà sélectionnée comme étape suivante"
"AddRelatedResourcesModal.selectedAsPreviousStep","Already selected as a previous step","
-- CONTEXT --
","Déjà sélectionnée comme étape antérieure"
"AdministrationAppError.unauthorizedDetails","You need to be an administrator of Studio to view this page","
-- CONTEXT --
","Il faut être administrateur de Studio pour voir cette page"
"AdministrationIndex.channelsLabel","Channels","
-- CONTEXT --
","Chaînes"
"AdministrationIndex.usersLabel","Users","
-- CONTEXT --
","Utilisateurs"
"Alert.closeButtonLabel","OK","
-- CONTEXT --
","OK"
"Alert.dontShowAgain","Don't show this message again","
-- CONTEXT --
","Ne plus afficher ce message"
"AnswersEditor.answersLabel","Answers","
-- CONTEXT --
","Réponses"
"AnswersEditor.newAnswerBtnLabel","New answer","
-- CONTEXT --
","Nouvelle réponse"
"AnswersEditor.noAnswersPlaceholder","Question has no answer options","
-- CONTEXT --
","La question ne comporte pas d'options de réponse"
"AnswersEditor.numberFieldErrorLabel","Answer must be a number","
-- CONTEXT --
","La réponse doit être un nombre"
"AppBar.administration","Administration","
-- CONTEXT --
","Administration"
"AppBar.changeLanguage","Change language","
-- CONTEXT --
","Changer la langue"
"AppBar.help","Help and support","
-- CONTEXT --
","Aide et support"
"AppBar.logIn","Sign in","
-- CONTEXT --
","Se connecter"
"AppBar.logOut","Sign out","
-- CONTEXT --
","Se déconnecter"
"AppBar.settings","Settings","
-- CONTEXT --
","Paramètres"
"AppBar.title","Kolibri Studio","
-- CONTEXT --
","Kolibri Studio"
"AssessmentEditor.closeBtnLabel","Close","
-- CONTEXT --
","Fermer"
"AssessmentEditor.incompleteItemIndicatorLabel","Incomplete","
-- CONTEXT --
","Incomplet"
"AssessmentEditor.newQuestionBtnLabel","New question","
-- CONTEXT --
","Nouvelle question"
"AssessmentEditor.noQuestionsPlaceholder","Exercise has no questions","
-- CONTEXT --
","L'exercice ne comporte pas de questions"
"AssessmentEditor.showAnswers","Show answers","
-- CONTEXT --
","Afficher les réponses"
"AssessmentEditor.toolbarItemLabel","question","
-- CONTEXT --
","question"
"AssessmentItemEditor.dialogMessageChangeToInput","Switching to 'numeric input' will set all answers as correct and remove all non-numeric answers. Continue?","
-- CONTEXT --
","En passant à « entrée numérique », toutes les réponses seront définies comme correctes et toutes les réponses autres que des nombres seront supprimées. Continuer ?"
"AssessmentItemEditor.dialogMessageChangeToSingleSelection","Switching to 'single choice' will set only one answer as correct. Continue?","
-- CONTEXT --
","En passant à « choix unique », seule une réponse pourra être définie comme correcte. Continuer ?"
"AssessmentItemEditor.dialogMessageChangeToTrueFalse","Switching to 'true or false' will remove all current answers. Continue?","
-- CONTEXT --
","En passant à « vrai ou faux », toutes les réponses actuelles seront supprimées. Continuer ?"
"AssessmentItemEditor.dialogSubmitBtnLabel","Change","
-- CONTEXT --
","Modifier"
"AssessmentItemEditor.dialogTitle","Changing question type","
-- CONTEXT --
","Modification du type de question"
"AssessmentItemEditor.questionLabel","Question","
-- CONTEXT --
","Question"
"AssessmentItemEditor.questionTypeLabel","Response type","
-- CONTEXT --
","Type de réponse"
"AssessmentItemPreview.answersLabel","Answers","
-- CONTEXT --
","Réponses"
"AssessmentItemPreview.hintsToggleLabelHide","Hide hints","
-- CONTEXT --
","Masquer les indices"
"AssessmentItemPreview.hintsToggleLabelShow","Show {hintsCount} {hintsCount, plural, one {hint} other {hints}}","
-- CONTEXT --
","Afficher {hintsCount} {hintsCount, plural, one {indice} other {indices}}"
"AssessmentItemPreview.noAnswersPlaceholder","Question has no answer options","
-- CONTEXT --
","La question ne comporte pas d'options de réponse"
"AssessmentItemToolbar.toolbarLabelAddAbove","Add {itemLabel} above","
-- CONTEXT --
","Ajouter {itemLabel} ci-dessus"
"AssessmentItemToolbar.toolbarLabelAddBelow","Add {itemLabel} below","
-- CONTEXT --
","Ajouter {itemLabel} ci-dessous"
"AssessmentItemToolbar.toolbarLabelDelete","Delete","
-- CONTEXT --
","Supprimer"
