"Identifier","Source String","Context","Translation"
"AboutLicensesModal.close","Close","
-- CONTEXT --
","Fechar"
"AboutLicensesModal.learnMoreButton","Learn More","
-- CONTEXT --
","Saiba mais"
"AboutLicensesModal.licenseInfoHeader","About licenses","
-- CONTEXT --
","Licenças"
"AccessibilityOptions.altText","Visual elements in the resource have descriptions that can be accessed by screen readers for the benefit of blind learners","
-- CONTEXT --
","As imagens e ilustrações deste conteúdo possuem descrições de leitores de tela para alunos com deficiência visual"
"AccessibilityOptions.audioDescription","The resource contains a second narration audio track that provides additional information for the benefit of blind users and those with low vision","
-- CONTEXT --
","Este conteúdo contém uma faixa de áudio adicional com narrações específicas para usuários com deficiência visual"
"AccessibilityOptions.highContrast","The resource text and visual elements are displayed with high contrast for the benefit of users with low vision","
-- CONTEXT --
","O texto e os elementos visuais deste conteúdo estão em alto contraste para beneficiar usuários com baixa visão"
"AccessibilityOptions.signLanguage","Synchronized sign language intepretation is available for audio and video content","
-- CONTEXT --
","A interpretação em linguagem de sinais está disponível para conteúdos de áudio e vídeo"
"AccessibilityOptions.taggedPdf","The document contains PDF tags that can be accessed by screen readers for the benefit of blind learners","
-- CONTEXT --
","As etiquetas deste documento podem ser acessadas por leitores de tela para o benefício dos alunos com deficiencia visual"
"Account.apiDocumentation","API documentation","
-- CONTEXT --
","Documentação da API"
"Account.apiTokenHeading","API Token","
-- CONTEXT --
","Token da API"
"Account.apiTokenMessage","You will need this access token to run content integration scripts for bulk-uploading materials through the Kolibri Studio API.","
-- CONTEXT --
","Você precisará deste token de acesso para executar scripts de integração para materiais de envio em massa por meio da API do Kolibri Studio."
"Account.basicInfoHeader","Basic Information","
-- CONTEXT --
","Informações básicas"
"Account.changePasswordAction","Change password","
-- CONTEXT --
","Mudar de senha"
"Account.completelyDeleteAccountLabel","Completely remove your account from Kolibri Studio","
-- CONTEXT --
","Remover completamente sua conta do Kolibri Studio"
"Account.deleteAccountLabel","Delete account","
-- CONTEXT --
","Excluir conta"
"Account.editFullNameAction","Edit full name","
-- CONTEXT --
","Editar o nome completo"
"Account.exportAccountDataHeading","Export account data","
-- CONTEXT --
","Exportar os dados da conta"
"Account.exportAccountDataLabel","You will receive an email with all information linked to your account","
-- CONTEXT --
","Você receberá um e-mail com todas as informações vinculadas à sua conta"
"Account.exportAccountDataModalMessage","You'll receive an email with your data when the export is completed","
-- CONTEXT --
","Você receberá um e-mail com seus dados quando a exportação for concluída"
"Account.exportDataButton","Export data","
-- CONTEXT --
","Exportar dados"
"Account.exportFailed","Unable to export data. Please try again.","
-- CONTEXT --
","Não foi possível exportar os dados. Por favor, tente novamente."
"Account.exportStartedHeader","Data export started","
-- CONTEXT --
","Exportação de dados iniciada"
"Account.fullNameLabel","Full name","
-- CONTEXT --
","Nome completo"
"Account.handleChannelsBeforeAccount","You cannot delete accounts that have channels. You must delete these channels manually before you can delete your account.","
-- CONTEXT --
","Contas que contenham canais de conteúdo não podem ser deletadas. Primeiro você deve excluir todos os conteúdos da conta para então poder deletá-la. "
"Account.passwordLabel","Password","
-- CONTEXT --
","Senha"
"Account.unableToDeleteAdminAccount","Unable to delete an admin account","
-- CONTEXT --
","Não foi possível excluir uma conta de administrador"
"Account.usernameLabel","Username","
-- CONTEXT --
","Nome de usuário"
"AccountCreated.accountCreatedTitle","Account successfully created","
-- CONTEXT --
","Conta criada com sucesso"
"AccountCreated.backToLogin","Continue to sign-in page","
-- CONTEXT --
","Continuar para a página de login"
"AccountDeleted.accountDeletedTitle","Account successfully deleted","
-- CONTEXT --
","Conta excluída com sucesso"
"AccountDeleted.backToLogin","Continue to sign-in page","
-- CONTEXT --
","Continuar para a página de login"
"AccountNotActivated.requestNewLink","Request a new activation link","
-- CONTEXT --
","Solicitar um novo link de ativação"
"AccountNotActivated.text","Please check your email for an activation link or request a new link.","
-- CONTEXT --
","Por favor, verifique o seu e-mail para um link de ativação ou solicite um novo link."
"AccountNotActivated.title","Account has not been activated","
-- CONTEXT --
","A conta não foi ativada"
"ActivationExpired.activationExpiredText","This activation link has been used already or has expired.","
-- CONTEXT --
","Este link de ativação já foi usado ou expirou."
"ActivationExpired.activationExpiredTitle","Activation failed","
-- CONTEXT --
","Falha na ativação"
"ActivationExpired.requestNewLink","Request a new activation link","
-- CONTEXT --
","Solicitar um novo link de ativação"
"ActivationLinkReSent.activationReSentText","If there is already an account with the email address provided, you should receive instructions shortly. If you don't see an email from us, please check your spam folder.","
-- CONTEXT --
","Se uma conta com o e-mail fornecido já existe, você receberá as instruções em breve. Se não encontrar um e-mail nosso, por favor verifique a sua pasta de spam."
"ActivationLinkReSent.activationReSentTitle","Instructions sent. Thank you!","
-- CONTEXT --
","Instruções enviadas. Obrigado!"
"ActivationSent.header","Activation link sent","
-- CONTEXT --
","Link de ativação enviado"
"ActivationSent.text","Thank you for creating an account! To complete the process, please check your email for the activation link we sent you.","
-- CONTEXT --
","Obrigado por criar uma conta! Para completar o processo, por favor verifique o seu e-mail para o link de ativação que te enviamos."
"ActivityDuration.minutesRequired","Minutes","
-- CONTEXT --
","Minutos"
"ActivityDuration.notOptionalLabel","Time required for the resource to be marked as completed. This value will not be displayed to learners.","
-- CONTEXT --
","Tempo de duração necessário para que o conteúdo seja marcado como 'concluído'. Esta informação não ficará visível para os alunos."
